ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
1367502_at 7.8542295 7.899137 7.9314957 8.0791855 7.918115 7.9810576 7.7946424 7.913191 7.977177 7.9459 7.959709
1367503_at 10.494679 10.549487 10.724525 10.652533 10.614542 10.641845 10.472903 10.554948 10.595683 10.398115 10.446677
1367504_at 7.8771334 7.8477316 7.8848753 7.9095016 7.8974247 7.885399 7.8990192 7.788592 7.7208886 8.044579 7.8766036
1367505_at 7.5500927 7.5140405 7.7466583 7.9046392 7.5747633 7.7704678 7.691141 7.7174444 7.602174 7.7737164 7.7581863
1367506_at 9.574711 9.67628 9.6383915 9.696101 9.925557 9.692161 9.7075 9.62772 9.670605 9.6562 9.712644
1367507_at 6.876897 6.883025 7.0061913 7.0389886 6.9807925 6.8663163 7.0732713 6.7338877 6.9302945 6.899182 6.932708
1367508_at 8.2904825 8.469367 8.472708 8.543522 8.450502 8.386794 8.397711 8.346508 8.416365 8.389447 8.497805
1367509_at 9.28685 9.279011 9.3776245 9.468935 9.399067 9.391485 9.25814 9.2647085 9.41127 9.329157 9.268913
1367510_at 9.253386 9.37578 9.646874 9.485009 9.4793825 9.230017 9.307566 9.315883 9.393155 9.345959 9.293479
1367511_at 7.597666 7.708398 7.8802724 7.9008408 7.6382165 7.51224 7.709582 7.756488 7.767377 7.6927557 7.637149
1367512_at 10.45964 10.538959 10.657219 10.644156 10.58141 10.586259 10.48247 10.397587 10.452669 10.459312 10.606052
1367513_at 7.72425 7.8098636 7.762943 8.081968 7.7374353 7.8926177 7.961425 7.673406 7.9416313 7.7537546 7.4885764
1367514_at 7.1876397 7.1822844 7.26611 7.177424 7.1270366 7.0804033 7.140358 7.0626793 7.170887 7.0427794 7.128808
1367515_at 6.578751 6.870433 6.4972296 6.4963717 6.466637 6.6211085 6.521765 6.3742576 6.5486026 6.8092794 6.758131
1367516_at 8.517648 8.302595 8.694374 8.578814 8.367743 8.423243 8.511347 8.576729 8.4386215 8.58584 8.376078
1367517_at 7.70622 7.7460537 7.473655 7.618946 7.715029 7.511587 7.5073776 7.57823 7.564646 7.7914667 7.4840755
1367518_at 7.8778496 7.88196 8.1458435 8.15181 7.9981833 7.9683475 7.8826017 7.9135637 7.9966507 7.7296834 7.8095803
1367519_at 7.5766177 7.8939934 7.97704 7.987293 7.8703036 7.8537555 7.8497853 7.916486 7.789303 7.846428 7.734617
1367520_at 9.275379 9.579217 9.650555 9.643685 9.598258 9.496911 9.440823 9.362123 9.602533 9.719491 9.593193
1367521_at 6.922618 6.7790847 7.115311 6.9378934 7.0060043 6.5787015 6.4593883 6.8279576 7.0056973 6.4539976 6.5701733
1367522_at 8.786392 8.86333 9.119034 8.922039 8.980547 8.856483 8.918739 8.954681 8.913114 9.00164 8.936508
1367523_at 7.4932795 7.4746513 7.4851027 7.54647 7.475672 7.4279594 7.4622865 7.4914646 7.369595 7.7385416 7.5305004
1367524_at 6.83491 7.1308937 6.9520903 7.061615 6.990933 7.2572055 7.2748446 7.086138 7.330312 7.51486 7.3427052
1367525_at 9.129133 8.967165 9.12818 9.042757 9.105109 9.098396 9.145886 9.064217 9.138871 8.906874 9.143026
1367526_at 8.168696 8.504093 8.732267 8.517428 8.454095 8.38833 8.356012 8.3656 8.432482 8.49236 8.399544
1367527_at 7.313944 7.466044 7.7220955 7.6298223 7.5733557 7.5963726 7.555591 7.6813326 7.3589644 7.4297028 7.3909364
1367528_at 8.119496 8.373836 8.614546 8.470552 8.462299 8.210689 8.267161 8.315287 8.334738 8.384865 8.44685
1367529_at 8.705794 8.802355 8.851841 8.83978 8.544245 8.600521 8.764715 8.732241 8.681814 8.858432 8.584805
1367530_at 7.268134 7.5429244 7.4203234 7.367637 7.4924173 7.154318 7.4355755 7.4171066 7.56876 7.556432 7.551334
1367531_at 10.1528225 10.327557 10.510831 10.391845 10.398917 10.297986 10.363569 10.247047 10.4349985 10.308237 10.422023
1367532_at 10.860827 10.861585 10.999296 11.022699 10.848793 10.81539 10.880364 10.794073 10.836074 10.865333 10.823692
1367533_at 7.660366 7.509719 7.72778 7.7014265 7.586643 7.3601604 7.7659335 7.563336 7.7224746 7.444854 7.5549707
1367534_at 7.330928 7.427436 7.649164 7.62585 7.5457234 7.4656925 7.430592 7.489892 7.6442266 7.537779 7.5398774
1367535_at 8.504918 8.427207 8.557488 8.480257 8.571807 8.5504055 8.608577 8.512647 8.582489 8.606924 8.441025
1367536_at 7.960829 7.583118 7.661349 7.5774 7.529083 7.7753534 7.821204 7.6729083 7.5712223 7.6227136 7.7242618
1367537_at 6.9308662 7.080564 7.003001 7.1272397 6.972365 7.0922403 7.075684 6.8918743 6.8567033 7.1213613 7.1735125
1367538_at 6.6085725 6.4778905 6.5247054 6.6552477 6.419728 6.334088 6.713941 6.5605197 6.494837 6.6365213 6.3853216
1367539_at 8.219625 8.22053 8.432318 8.25693 8.048945 8.232751 7.9969554 8.200741 8.07409 8.089016 8.218762
1367540_at 6.796544 6.806016 6.6778812 6.794797 6.5998487 6.8230753 6.5059566 6.7071877 6.786449 6.658126 6.468628
1367541_at 7.158526 7.5353765 7.2049174 7.4012547 7.405371 7.084039 7.2147584 7.1953487 7.2840953 7.293139 7.338128
1367542_at 6.9299645 7.228124 7.3221846 7.2675967 7.0792737 7.0498614 7.072688 7.1549363 7.290505 6.9852514 7.142504
1367543_at 8.180038 8.30267 8.579356 8.480961 8.528419 8.343287 8.468351 8.328516 8.495782 8.46604 8.253533
1367544_at 5.3974075 5.73806 5.43583 5.574568 5.8024874 5.486411 5.462165 5.2378635 5.2970705 5.46517 5.2914567
1367545_at 6.7045474 7.245355 6.931723 6.7967 7.074812 7.438281 7.024509 7.061462 7.0602894 7.0190606 6.9914174
1367546_at 9.792199 9.871979 9.911034 9.889527 9.875567 10.028492 9.75624 9.793407 9.83419 9.651454 9.99879
1367547_at 7.111957 7.058308 7.0683203 7.2193217 7.039148 6.919432 7.1390405 6.9825616 7.170928 7.1839375 7.128628
1367548_at 8.222053 8.422691 8.515397 8.410103 8.361803 8.407622 8.409601 8.408151 8.498524 8.396653 8.291801
1367549_a_at 9.3866 9.530929 9.786044 9.625742 9.60985 9.570585 9.614755 9.428334 9.590442 9.441103 9.649621
1367550_a_at 8.2320175 8.414177 8.32013 8.452446 8.452105 8.203807 8.415276 8.455335 8.4688635 8.621739 8.500993
1367551_a_at 7.9741488 8.105468 8.314215 8.518849 8.1265135 8.088262 8.022753 8.19038 8.272776 8.342941 8.194205
1367552_at 4.8959794 4.5374813 4.52817 4.500971 4.5676455 4.435669 4.4069304 4.315314 4.4997816 4.48408 4.574552
1367553_x_at 11.824197 11.87149 11.873345 11.807069 11.5285 12.325502 11.140393 11.75891 11.356891 10.251356 10.745733
1367554_at 4.0892916 3.85124 3.9696498 4.181078 4.049215 4.0959454 4.0877533 3.7998917 4.0313916 3.9685798 4.0796633
1367555_at 14.696177 14.706564 14.640381 14.718243 14.631692 14.696352 14.728453 14.674649 14.706564 14.696714 14.661704
1367556_s_at 14.559159 14.55304 14.571802 14.593051 14.5019045 14.559159 14.585716 14.594791 14.565282 14.578571 14.506373
1367557_s_at 12.825113 12.818981 12.900544 12.890363 12.85069 12.904588 12.638525 12.770792 12.773691 12.795179 12.697438
1367558_x_at 2.982245 3.0073798 3.1998541 3.109328 3.090418 3.1383333 3.0830147 3.0568082 2.9787915 3.1125803 3.0113566
1367559_at 13.068159 13.121403 13.268961 13.205273 13.164276 13.205803 13.178311 13.03817 13.126653 13.047821 13.249623
1367560_at 11.518423 11.770725 11.729475 11.923272 11.852622 11.599796 11.967426 11.723004 11.767028 11.7546835 11.849865
1367561_at 11.876513 12.013592 12.037008 12.067713 12.025159 11.933892 12.054444 11.986971 11.919107 12.021554 12.023405
1367562_at 8.25573 8.494905 9.026215 8.610285 8.267283 8.306091 8.480923 8.484913 8.311895 7.7986593 8.1230955
1367563_at 8.6256275 8.617984 8.998245 8.849738 8.630622 8.732715 8.774731 8.634078 8.709106 8.202976 8.447178
1367564_at 6.184158 6.038192 6.211046 6.1746716 6.1022816 6.0400453 6.0828032 6.0658417 6.0570755 6.1730013 6.2179875
1367565_a_at 13.616087 13.640565 13.688034 13.726354 13.644307 13.660678 13.633207 13.54827 13.619097 13.671952 13.684325
1367566_at 4.448324 4.2515717 4.4054546 4.284193 4.5970964 4.5249557 4.2216244 4.357545 4.195888 4.3995275 4.4306912
1367567_at 11.705643 11.728594 11.805442 11.802594 11.72221 11.696325 11.700337 11.763186 11.592646 11.627304 11.786318
1367568_a_at 8.760302 8.518359 9.011987 8.197191 8.955657 8.503238 8.879422 8.690052 8.648548 8.391327 8.168831
1367569_at 11.472766 11.71801 11.702777 11.875689 11.832591 11.694616 11.882159 11.705392 11.914631 11.707529 11.763962
1367570_at 5.8620534 6.2193356 6.5804963 6.0789814 6.492197 6.5992403 6.710783 6.5467925 6.4077635 6.048379 5.8955975
1367571_a_at 6.078072 5.476899 5.656929 5.6812325 5.8649106 5.5572014 5.6949434 6.1468773 5.579635 5.5504932 5.5915546
1367572_at 4.95615 5.047497 5.207963 5.065522 5.101569 5.1862254 4.9116178 5.024528 4.980533 5.238819 5.1054807
1367573_at 12.250993 12.391636 12.398547 12.476267 12.310861 12.325416 12.381156 12.299069 12.299582 12.325843 12.380701
1367574_at 7.4603868 7.5235724 7.916615 7.732542 7.627174 7.8800764 8.106015 7.932317 8.027164 7.786133 7.5736194
1367575_at 11.297275 11.281127 11.256005 11.32443 11.380998 11.352849 11.017953 11.115702 11.306379 11.140406 11.213821
1367576_at 13.594638 13.64825 13.67092 13.723617 13.604719 13.608961 13.639659 13.632746 13.744945 13.613203 13.722728
1367577_at 6.2224884 7.1500983 6.9284 7.03045 7.148706 6.687045 7.0241218 6.202175 6.7418566 8.532459 7.357428
1367578_at 10.102225 10.124486 10.2599535 10.294399 10.242212 10.234726 10.097593 10.117871 10.10798 10.038435 10.112682
1367579_a_at 10.730348 11.165524 11.390204 11.253512 10.753603 11.155375 11.392641 11.152818 11.05148 10.99499 11.1960945
1367580_at 10.592103 10.80974 10.770612 10.946699 10.8478565 10.719866 10.803895 10.679974 10.798641 10.766208 10.811073
1367581_a_at 6.0300364 6.0497127 6.1390395 6.036448 6.411113 6.220909 6.2419357 6.002952 6.430736 6.0172057 5.616898
1367582_at 11.056539 11.040404 11.133863 11.399725 11.246175 11.153136 11.160855 11.092598 11.116774 11.10124 11.032126
1367583_at 13.112041 13.229953 13.166728 13.292151 13.191482 13.184145 13.280185 13.179602 13.186174 13.21574 13.2070675
1367584_at 7.8018813 7.5662227 7.931203 7.684641 7.8576403 7.802037 7.978715 7.7934976 7.8671594 7.649311 7.609061
1367585_a_at 10.854672 10.681827 11.02812 10.625531 10.95662 10.913589 10.615733 10.517951 10.530503 10.420812 10.408478
1367586_at 12.914497 12.747163 12.936136 12.741911 12.880912 13.050239 12.559913 12.649422 12.724787 12.305463 12.478269
1367587_at 4.0840855 3.655493 3.7892315 3.907573 3.8703785 3.9143791 3.7607217 3.9398491 3.7721262 3.7029762 3.7054353
1367588_a_at 10.846521 11.002735 11.09298 11.15445 10.945039 10.797582 11.077025 10.879922 10.930308 10.949493 10.907234
1367589_at 8.841082 9.157434 9.109861 9.064163 8.9658165 9.235316 9.088774 9.060997 9.045381 9.305017 9.309299
1367590_at 10.509152 10.76568 10.821049 10.614277 10.688367 10.825496 10.540895 10.762711 10.6722145 10.521812 10.628001
1367591_at 9.743754 9.891429 9.943472 9.954735 9.972316 9.874738 9.7735615 9.805777 9.81689 9.782006 9.795812
1367592_at 3.3991144 3.463118 3.495144 3.432406 3.4541576 3.4544804 3.3670876 3.4613693 3.409635 3.3813405 3.4165668
1367593_at 7.726807 7.8332443 8.010438 7.875616 7.6681237 7.558296 7.9214144 7.6641927 7.9271274 8.797211 8.273796
1367594_at 9.364624 9.256855 9.614571 9.534845 9.402678 9.269333 9.512928 9.31937 9.385086 9.425339 9.302931
1367595_s_at 13.365545 13.463381 13.6131735 13.570335 13.409334 13.477894 13.529183 13.44049 13.483261 13.283246 13.394035
1367596_at 11.523708 11.724525 11.74193 11.877567 11.832226 11.653858 11.696895 11.568413 11.665777 11.715976 11.749827
1367597_at 11.802297 12.016038 12.10485 12.018853 12.053675 11.863431 12.006163 11.96113 11.954391 11.940787 11.963579
1367598_at 14.2158785 14.1949005 14.233993 14.207235 14.204439 14.216511 14.15754 14.144394 14.193119 14.14226 14.1632395
1367599_at 12.022561 11.878045 12.05671 12.1121025 12.086926 12.08797 12.063644 11.945009 11.869603 12.057717 11.889424
1367600_at 5.3983765 5.4685183 5.546086 5.3117137 5.4479733 5.112632 5.438307 5.462376 5.4632835 5.41555 5.3603272
1367601_at 7.9792604 8.198231 8.029886 7.870816 8.211863 7.9564056 7.773906 8.267069 7.83414 7.909295 8.690023
1367602_at 8.711602 8.833735 8.620019 8.617164 8.699881 8.478828 8.484434 8.734887 8.477631 8.672699 9.369098
1367603_at 10.907922 11.001663 10.980451 10.796064 10.884468 10.904636 10.969571 10.815254 10.912627 10.675911 10.846821
1367604_at 10.912271 11.141329 10.855388 11.135009 11.106062 10.77024 11.108431 11.116046 11.284427 11.35861 11.295821
1367605_at 10.372916 10.599234 10.504869 10.556345 10.361668 10.352371 10.483193 10.359988 10.415938 10.491958 10.546495
1367606_at 11.907645 12.097639 12.138618 12.195581 12.12164 12.083125 12.167206 12.074774 12.025642 12.187742 12.128379
