ProbesetID Column.0 Column.1 Column.2 Column.3 Column.4 Column.5 Column.9 Column.10 Column.11 Column.6 Column.7 Column.8
Dose 0 0 0 100 100 100 300 300 300 1000 1000 1000
1367452_at 10.701635 10.501722 10.530006 10.5929165 10.651634 10.612774 10.692613 10.378734 10.695649 10.545228 10.446109 10.609402
1367453_at 10.492434 10.283964 10.321002 10.312568 10.354631 10.353586 10.426881 9.742203 10.309438 10.359106 10.349169 10.187695
1367454_at 10.131945 10.100889 10.159634 10.137821 10.1308155 10.263279 10.250469 10.151474 10.148874 10.217796 10.243797 10.105082
1367455_at 11.254292 11.299542 11.325094 11.088559 11.322207 11.378924 11.40502 11.292676 11.32105 11.289501 11.325437 11.164907
1367456_at 12.211521 12.061454 12.173897 12.167406 12.073023 12.008571 12.147212 11.941032 12.05741 12.155055 12.076381 12.164066
1367457_at 9.162281 9.0390625 9.114805 9.17272 9.160416 9.054808 9.061802 8.981292 9.15035 9.196141 9.14324 9.226367
1367458_at 8.407818 8.24301 8.397903 8.481529 8.391312 8.507599 8.387724 8.184776 8.399086 8.4759865 8.5201 8.426754
1367459_at 12.340862 12.325796 12.313284 12.412854 12.500676 12.348363 12.451585 12.295173 12.404104 12.370972 12.43132 12.450512
1367460_at 11.777786 11.656136 11.679633 11.640002 11.587027 11.634431 11.781448 11.593774 11.77274 11.821188 11.688802 11.699944
1367461_at 10.317087 10.435232 10.5468445 10.501537 10.518007 10.55043 10.457535 10.30909 10.513032 10.537764 10.585125 10.501701
1367462_at 10.901592 11.082428 10.597694 10.413143 10.712324 10.856812 10.69689 10.264364 11.053444 11.04044 10.885937 10.555111
1367463_at 11.365462 11.223642 11.301341 11.274847 11.014004 11.382125 11.483255 10.967234 11.03961 11.249328 11.065925 11.089535
1367464_at 9.766022 9.692408 9.599762 9.60597 9.572586 9.764099 9.760731 9.142099 9.838062 9.764166 9.601198 9.6744585
1367465_at 10.494605 10.577534 10.4398 10.428994 10.575505 10.582333 10.505035 10.307348 10.593937 10.5876045 10.453627 10.510756
1367466_at 10.062138 10.177313 10.152974 10.046187 9.924914 9.975144 10.007816 10.191894 9.949044 10.162055 10.031691 10.119747
1367467_at 11.675533 11.69055 11.756149 11.628848 11.870098 11.81129 11.850099 11.594957 11.819143 11.728661 11.719812 11.705059
1367468_at 10.361788 10.408085 10.3271675 10.357319 10.416528 10.544369 10.392386 9.826862 10.394543 10.527997 10.257737 10.3163595
1367469_at 12.055033 11.901043 11.962816 11.880989 11.924946 11.941795 11.961854 12.063511 11.911728 11.936732 12.073279 12.0295725
1367470_at 10.3067665 10.250372 10.224052 10.027086 10.23757 10.225239 10.31044 10.119783 10.233788 10.25745 10.277945 10.09288
1367471_at 9.537785 9.499226 9.448553 9.458094 9.559858 9.345395 9.268688 9.309206 9.430632 9.433683 9.3013115 9.526767
1367472_at 10.159394 10.168884 9.933013 10.106941 10.060907 9.952743 10.083386 10.056654 10.068165 10.102123 9.877261 9.9410715
1367473_at 10.300657 10.150675 10.043489 10.154015 10.203457 10.244001 10.197861 10.012323 9.988779 10.070547 10.160965 10.29167
1367474_at 9.942321 9.679649 9.801403 9.64452 9.640801 9.824628 9.782976 9.6974945 9.958269 9.693929 9.891882 9.868579
1367475_at 10.609783 10.514221 10.652863 10.595976 10.575092 10.574224 10.543457 10.29488 10.435177 10.560165 10.432531 10.6147175
1367476_at 11.544574 11.480065 11.605304 11.536873 11.499186 11.5805855 11.558083 11.231684 11.3909235 11.557175 11.596317 11.482128
1367477_at 10.8017025 10.650898 10.753208 10.735279 10.737297 10.710672 10.759403 10.303909 10.814922 10.766815 10.7853565 10.590088
1367478_at 8.029385 7.9965606 7.979642 7.944538 8.002585 7.9747005 7.934604 7.835994 7.9090276 8.068712 8.041936 7.9431815
1367479_at 11.572584 11.613424 11.525476 11.529787 11.641237 11.5803995 11.516972 11.376465 11.554545 11.528795 11.59249 11.5610285
1367480_at 10.0623255 9.957479 9.968262 9.928247 9.775839 9.949482 9.938881 9.5038595 9.892824 10.146275 10.025968 9.810969
1367481_at 10.030788 10.009654 9.97422 10.032827 9.866737 9.855921 9.922947 9.415342 9.849352 10.035393 9.835407 9.985995
1367482_at 10.061737 9.970745 9.865152 9.672594 10.0272045 9.853061 9.774809 9.246468 9.98067 9.940704 9.774506 9.678932
1367483_at 9.162695 9.302501 9.273039 9.444172 9.327055 9.270453 9.284438 8.978497 9.351628 9.344079 9.185622 9.336443
1367484_at 9.747047 9.630344 9.637909 9.490282 9.623839 9.58611 9.235864 9.331239 9.3735485 9.540281 9.515568 9.49062
1367485_at 10.163407 10.066049 9.889721 9.740557 10.06561 10.039479 10.06501 9.895276 10.095783 10.080877 10.123923 10.046735
1367486_at 9.609954 9.484299 9.297188 9.36834 9.329799 9.344654 9.426791 9.3204155 9.239465 9.268077 9.270941 9.19772
1367487_at 7.4988537 7.620635 7.6331596 7.586396 7.718802 7.6000233 7.524148 7.693756 7.5403805 7.5054674 7.511795 7.578293
1367488_at 7.8085117 7.9175644 7.501983 7.2124357 7.6658735 8.031341 7.7170444 7.8725896 7.826858 7.9605236 7.8085756 8.077781
1367489_at 6.321417 6.855345 6.237111 6.334117 6.693206 6.529994 6.333247 6.4198356 6.4876285 6.7345915 6.579951 6.3617105
1367490_at 7.8614087 7.765099 7.5593314 7.5339046 7.5685906 7.5932946 7.7602873 7.436576 7.3331585 7.8432612 7.764188 7.5069823
1367491_at 9.433463 9.277136 9.223783 9.081504 9.135648 9.044361 9.346738 9.327372 9.213707 9.256071 9.215886 9.319113
1367492_at 9.251127 9.369765 9.2716465 9.205176 9.42095 9.410449 9.182756 9.180376 9.153906 9.318134 9.174665 9.37103
1367493_at 9.87606 9.889579 9.686518 9.676389 9.725961 9.749199 9.782861 9.35846 9.756315 9.788007 9.813048 9.592944
1367494_at 10.780624 10.612769 10.659711 10.632297 10.757523 10.624808 10.483622 10.210202 10.536572 10.696017 10.797633 10.579882
1367495_at 8.221333 8.157015 8.226995 7.940271 8.312265 8.248145 7.9985614 7.4375973 8.30843 8.334738 8.287775 8.157345
1367496_at 11.046389 11.025304 11.01719 10.922169 11.054972 11.018906 11.036862 11.173175 11.035848 10.937239 10.97271 11.076034
1367497_at 9.011974 9.124393 9.056545 8.814074 9.050051 8.958202 9.151236 8.774357 8.94673 9.095795 8.910255 8.833223
1367498_at 8.926115 8.809127 8.92578 8.7141 8.959783 8.981129 8.8361845 8.778992 9.068178 8.972534 9.028136 8.864737
1367499_at 8.047628 8.176975 7.8286996 7.744824 7.893241 8.067289 8.115173 8.085594 7.9529853 8.036028 8.145067 8.315163
1367500_at 10.54172 10.416431 10.330312 10.346441 10.36921 10.517938 10.172213 10.361987 10.277296 10.22584 10.171353 10.3040695
1367501_at 8.985301 8.914404 8.9924965 8.872217 8.85849 8.882006 9.105489 8.526287 8.867527 8.873635 8.849657 8.873143
1367502_at 9.03764 8.972513 8.849094 8.816658 8.820103 8.950693 8.755747 8.482285 8.704639 8.963865 8.990168 8.898315
1367503_at 11.508205 11.516455 11.567717 11.561662 11.474176 11.470288 11.457791 11.127072 11.572975 11.642671 11.645351 11.47854
1367504_at 8.383173 8.274365 8.0589695 8.088529 8.516603 8.360719 8.393529 7.927484 8.171475 8.371784 8.366424 8.496834
1367505_at 8.582021 8.16144 8.319825 8.689775 8.266577 8.324571 8.419388 8.000822 8.16453 8.53399 8.214435 8.313765
1367506_at 10.528412 10.548323 10.588388 10.646164 10.539164 10.345785 10.421067 10.064354 10.419466 10.560689 10.423973 10.588745
1367507_at 7.8219624 7.717517 7.5824885 7.5358977 7.554385 7.722842 7.720621 7.1010275 7.520936 7.6271167 7.5197806 7.600376
1367508_at 9.329853 9.240138 9.209466 9.065995 9.0734 9.278706 9.178202 8.515467 9.115709 9.145402 9.04088 8.987227
1367509_at 9.939982 9.984741 10.1092005 10.027091 10.0136795 10.0302305 9.897198 9.725287 9.9967165 10.001876 9.840154 10.068213
1367510_at 10.16785 10.264361 10.115298 10.171092 10.082981 10.319731 10.1109915 9.782903 10.124484 10.120889 10.032248 9.948514
